Date,Open,High,Low,Close,Volume
2000-01-04 00:00:00,15208,7998,17639,30078,15208,7998,17512,19922,54538700
2000-01-05 00:00:00,17512,19922,17802,09961,16237,7002,16932,66720900
2000-01-06 00:00:00,16932,17460,69922,16086,7998,16200,66095000
2000-01-07 00:00:00,16200,16305,59961,15623,5,15837,40039,25444400
2000-01-11 00:00:00,15837,40039,16388,30078,15293,2002,16347,40039,53618400
2000-01-12 00:00:00,16347,40039,17304,19922,16347,40039,16933,59961,59691700
2000-01-13 00:00:00,16933,59961,18256,80078,16933,59961,18138,19922,73641700
2000-01-14 00:00:00,18138,19922,19332,09961,18138,19922,19110,30078,67855200
2000-01-17 00:00:00,19110,30078,20617,90039,18301,30078,18458,30078,73244200
2000-01-18 00:00:00,18458,30078,19577,30078,18182,5,19577,30078,59548700
2000-01-19 00:00:00,19577,20316,18228,40039,18414,66129200
2000-01-20 00:00:00,18414,18414,17343,59961,18030,80078,28581300
2000-01-21 00:00:00,18030,80078,18324,90039,16928,19922,17258,40911300
2000-01-24 00:00:00,17258,17668,90039,16419,90039,17663,59961,41363600
2000-01-25 00:00:00,17663,59961,17819,40039,17006,80078,17218,69922,38859900
2000-01-26 00:00:00,17218,69922,18014,40039,17218,69922,18014,40039,35635500
2000-01-27 00:00:00,18014,40039,18519,5,17865,19922,18098,59961,47606400
2000-01-28 00:00:00,18098,59961,18814,19922,17878,69922,18172,30078,45900400
2000-01-31 00:00:00,18172,30078,18400,80078,16633,90039,16715,38512500
2000-02-01 00:00:00,16715,17036,90039,16175,59961,16342,2002,33037000
2000-02-02 00:00:00,16342,2002,16921,59961,15795,5,16040,5,40252500
2000-02-03 00:00:00,16040,5,16385,19922,15378,90039,16096,90039,43073600
2000-02-04 00:00:00,16096,90039,17029,59961,15754,5,16870,59961,55454900
2000-02-07 00:00:00,16870,59961,17376,09961,16260,90039,16377,90039,48933900
2000-02-08 00:00:00,16377,90039,16462,59961,15648,16050,2998,33775900
2000-02-09 00:00:00,16050,2998,16192,2002,15309,2002,15433,40039,33212400
2000-02-10 00:00:00,15433,40039,15829,59961,14890,5,15829,59961,41189900
2000-02-11 00:00:00,15829,59961,16165,09961,15388,09961,15598,2002,38578200
2000-02-14 00:00:00,15598,2002,15730,59961,15083,5,15237,40039,19982400
2000-02-15 00:00:00,15237,40039,15913,40039,15174,2998,15859,2998,36022000
2000-02-16 00:00:00,15859,2998,16106,59961,15645,59961,15833,7002,32523300
2000-02-17 00:00:00,15833,7002,15994,2998,15136,15341,5,31455600
2000-02-18 00:00:00,15341,5,15380,2002,14751,7998,15363,59961,19772700
2000-02-21 00:00:00,15363,59961,15363,59961,14279,5,14569,25747800
2000-02-22 00:00:00,14569,14701,90039,13758,2998,13994,2002,29579900
2000-02-23 00:00:00,13994,2002,14126,2998,13171,2002,13447,09961,26947000
2000-02-24 00:00:00,13447,09961,14652,09961,13413,59961,14652,09961,43019300
2000-02-25 00:00:00,14652,09961,15631,90039,14652,09961,15618,2002,56159200
2000-02-28 00:00:00,15618,2002,16084,40039,15143,09961,15315,2998,42587700
2000-02-29 00:00:00,15315,2998,15945,90039,15111,7002,15945,90039,38204800
2000-03-01 00:00:00,15945,90039,17199,30078,15945,90039,17199,30078,69342200
2000-03-02 00:00:00,17199,30078,17408,16682,80078,16939,69922,60082800
2000-03-03 00:00:00,16939,69922,17066,80078,16396,09961,16783,5,53287600
2000-03-06 00:00:00,16783,5,16942,09961,16391,19922,16563,40039,26571700
2000-03-07 00:00:00,16563,40039,17223,19922,16313,2998,17223,19922,33310200
2000-03-08 00:00:00,17223,19922,17500,90039,16927,5,17344,19922,44394100
2000-03-09 00:00:00,17344,19922,18425,59961,17296,30078,18314,69922,59424600
2000-03-10 00:00:00,18314,69922,18537,69922,17537,59961,17841,30078,42140400
2000-03-20 00:00:00,17841,30078,18455,5,17313,69922,17443,90039,37150500
2000-03-21 00:00:00,17443,90039,17816,90039,17259,09961,17545,59961,28075900
2000-03-22 00:00:00,17545,59961,17678,40039,16740,40039,16823,30078,27858700
2000-03-23 00:00:00,16823,30078,17439,09961,16823,30078,17439,09961,29025000
2000-03-24 00:00:00,17439,09961,17762,40039,17374,17669,19922,30238300
2000-03-27 00:00:00,17669,19922,17852,90039,17399,5,17612,19922,25928500
2000-03-28 00:00:00,17612,19922,17612,19922,17111,19922,17277,19922,28604400
2000-03-29 00:00:00,17277,19922,17425,59961,16790,90039,16951,40039,41165000
